value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
9,,,,,,,0.0003454231433506045,,
14.9,,,,,,,,,0.002933780385582565
15,0.008936170212765958,0.0029117379435850774,0.0019538882375928096,0.002976190476190476,0.0015214910612400153,0.0014005602240896359,,0.00493494840735756,
52.8,0.04595744680851064,,,,,,,,
57,,,,0.026041666666666668,,,,0.03813369223867205,
60.74,,,,,,,,,0.03003632299525007
61,,0.02929936305732484,0.025009769441187966,,,,,,
64,,,,,,,0.017616580310880828,,
67.2,,,,,0.014834537847090148,,,,
68.6,,,,,,0.0350140056022409,,,
81,0.08382978723404255,,,,,,,,
93.92,,,,,,,,,0.05713886560491757
94.08,,,,0.04898313492063492,,,,,
95.2,,,,,,,,0.07043517272319426,
95.6,,,0.04650254005470887,,,,,,
96,,0.05477707006369427,,,,,,,
98,,,,,0.027767211867630277,,,,
103,,,,,,,0.03419689119170984,,
104.6,,,,,,0.06862745098039216,,,
121,0.12042553191489362,,,,,,,,
125,,,,,,,,0.10453117990130104,
130,,,,,,0.10364145658263306,,,0.08438111204246997
132,,,0.06955842125830403,,,,,,
133,,0.0808007279344859,,,,,,,
133.72,,,,0.07192460317460317,,,,,
135.2,,,,,0.04069988588817041,,,,
137,,,,,,,0.05077720207253886,,
159.4,0.15659574468085105,,,,,,,,
160.8,,,,,,0.13585434173669467,,,
162.12,,,,,,,,,0.11134395082425258
165,,,0.0914419695193435,,,,,,
165.4,,,,,,,,0.1354867653656348,
166,,,,0.09523809523809523,,,,,
167,,0.10591446769790719,,,,,,,
171,,,,,,,0.06770293609671849,,
172,,,,,0.05439330543933055,,,,
198,,,,,,,0.08359240069084628,,
199,,,0.11332551778038297,,0.06694560669456066,0.16946778711484595,,,
200,0.19361702127659575,0.13157415832575067,,0.11793154761904762,,,,0.16823687752355315,0.1384464934339201
448.8,,,,,,,,,0.310841017043867
456,0.3553191489361702,,,,,,,,
461,,,,,,0.33753501400560226,,,
468.04,,,,0.2943948412698413,,,,,
496.8,,,,,,,,0.33467922835352176,
528,,0.305368516833485,,,,,,,
532,,,0.2915201250488472,,,,,,
673,,,,,,,0.26735751295336785,,
676.8,,,,,0.25370863446177255,,,,
791.1,,,,,,,,,0.48309583682592905
815.26,,,,0.470734126984127,,,,,
890.6,0.5161702127659574,,,,,,,,
961,,0.47916287534121926,,,,,,,
1003.2,,,0.4681516217272372,,,,,,
1016.8,,,,,,0.5014005602240896,,,
1058.8,,,,,,,,0.5011215791834903,
1246.8,,,,,,,0.45008635578583767,,
1317.28,,,,0.6471974206349206,,,,,
1418.8,,,,,,,,,0.6553506566079911
1419.6,,,,,0.4400912894636744,,,,
1730.8,0.6774468085106383,,,,,,,,
1835,,0.6527752502274795,,,,,,,
1918.8,,,0.6451738960531458,,,,,,
2425.4,,,,,,,,0.6671152983400628,
2511.2,,,,,,,0.6335060449050086,,
2593,,,,,0.6272346899961962,,,,
2744,,,,,,0.6680672268907563,,,
2766.48,,,,0.8235367063492064,,,,,
3477.4,,,,0.8588789682539683,,,,,
3833.8,,,,,,,,,0.8276054763900531
4544.2,,,0.8225869480265728,,,,,,
4785.42,,,,0.8940972222222222,,,,,
4845,,0.8262056414922657,,,,,,,
5179.3,,,,,,,,,0.8621123218776194
6115.6,,,,,0.8132369722327881,,,,
6175.4,,,0.8581477139507621,,,,,,
6427.4,0.8387234042553191,,,,,,,,
6490,,0.8609645131938125,,,,,,,
7064.4,,,,0.9294394841269841,,,,,
7300.6,,,,,,,0.816580310880829,,
7410.8,,,,,,0.8333333333333334,,,
7655.68,,,,,,,,,0.8966191673651858
7857,,,,,0.8508938759984785,,,,
8397.8,,,,,,,,0.8335576491700314,
8905,0.8710638297872341,,,,,,,,
9024.6,,,,,,0.8669467787114846,,,
9634.6,,,0.8937084798749512,,,,,,
9820.8,,0.8957233848953594,,,,,,,
9906,,,,,,,0.8535405872193437,,
12255,,,,,,,,0.867205024674742,
12465.6,,,,,,0.9005602240896359,,,
12515,,,,,0.8881704069988589,,,,
12699.4,,,,0.9646577380952381,,,,,
13784.4,0.9034042553191489,,,,,,,,
13950,,,,,,,,,0.971081307627829
14511,,,,,,,0.8901554404145078,,
14806.2,,,0.9288784681516217,,,,,,
18337.2,,0.9304822565969063,,,,,,,
18489,,,,,,,,0.9004037685060565,
19334.2,,,,,,0.9327731092436975,,,
21288.8,0.9353191489361702,,,,,,,,
22979,,,,,0.9254469379992393,,,,
23976,,,,,,,0.9267702936096719,,
29074.8,,,0.9644392340758109,,,,,,
30889,,,,,,,,0.933602512337371,
34839.2,0.9676595744680851,,,,,,,,
37953,,,,,0.9627234689996196,,,,
38216.8,,0.9652411282984531,,,,,,,
40596,,,,,,,0.9633851468048359,,
44380.2,,,,,,0.9663865546218487,,,
56004,,,,,,,,0.9668012561686855,
100000,,,,,,,1.0,,
183588,,,,,,,,,1.0
200000,,,,,,,,1.0,
209271,,,,1.0,,,,,
230404,,,,,1.0,,,,
258502,1.0,,,,,,,,
277120,,,1.0,,,,,,
293503,,,,,,1.0,,,
299196,,1.0,,,,,,,
