value,emory_probability,jhu_probability,mimic_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.2,,0.11570247933884298,,,,,,
0.75,,0.2892561983471074,,,,,,
1,,0.4049586776859504,,,,,,
2,,,,,,,,0.22633837606671373
3,0.13610586011342155,,,,,,,
4,,0.5206611570247934,,,,,,0.39667850029116897
5,0.2928338202440282,,,,,,,0.41923293858680666
6,,,,,,,,0.5077277038382817
20,0.3005671077504726,,,,,,,
29.8,,,0.10081923890063425,,,,,
30,,,,,,,,0.6073063383303035
30.4,,,,,,,0.10000398899038654,
34,0.4040213095033511,,,,,,,
35,,0.7107438016528925,0.20037153339136923,0.11421674501334012,,,0.22932705732179184,
36,,,,,,0.10136671939818179,,
38.8,,,0.3028152592961075,,,,,
40,0.5856676404880564,,,0.2252572735357642,,,0.6408313055965535,0.7497823383440324
41.9,,,0.4002067528914314,,,,,
42,0.602680873002234,,,,,,,
44.2,,,,,,0.20030281015975612,,
45,,,,,,,0.7855518768199768,
45.1,,,0.5006684491978609,,,,,
47,,,,0.3068225130224876,,,,
48.5,,,0.6005938316129834,,,,,
50,0.7332875064444062,0.9917355371900827,,0.4794816414686825,0.7511759420749432,0.3340688587587499,0.920260082173202,0.8841387863346235
52.4,,,0.7028276955602537,,,,,
54,,,,,,0.419011861196168,,
55,0.8006530331672108,1.0,,0.5502477448862915,,,,0.9098348746028604
57.4,,,0.8007010943912448,,,,,
60,0.932806324110672,,,0.7443780968110787,0.8827877634758878,0.9088853734545479,,
65,,,0.9009296107449323,0.8171769787828739,0.9233463539789843,,,
70,,,,0.9144962520645408,,,,
100,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
