value,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability
16.26,,0.00032140561388472255,,,
21.72,,0.0005356760231412042,,,
28.82,,0.0008570816370259267,,,
30,0.012335526315789474,,,,
30.08,,,0.016456582633053222,,
32,,,,0.016048699501936912,
34.26,,,0.032913165266106444,,
36,0.024396929824561403,,,,
36.38,,0.0010713520462824085,,,
36.4,,,0.04971988795518207,,
37,,,,0.03431101272827892,
38.5,,,0.06722689075630252,,
39,0.03673245614035088,,,,
39.2,,0.001392757660167131,,,
40,,,,0.04814609850581074,
40.4,,,0.0822829131652661,,
41,0.04797149122807018,,,,
42,0.05537280701754386,,,0.06419479800774765,
44,,,,0.07692307692307693,
44.06,,,,,0.15254237288135594
47.8,,,0.16001400560224088,,
48.96,,,,,0.3050847457627119
49,0.11430921052631579,0.0031069209342189843,,,
51,,,,0.15938018815716656,
52.5,,,0.23984593837535015,,
53.54,,,,,0.4576271186440678
53.6,,0.004178272980501393,,,
54,0.17626096491228072,,,,
55,,,,0.24183729939125623,
55.72,,,,,0.6101694915254238
56.7,,,0.32177871148459386,,
57,0.21929824561403508,,,,
58,,0.005571030640668524,,0.3126729385722192,
58.7,,,,,0.7627118644067796
60,0.2727521929824561,0.0068566530962074134,0.39950980392156865,0.3624792473713337,
62.2,,,,,0.8135593220338984
62.9,,,0.4653361344537815,,
63,,,,0.45379081350304373,
64,0.36047149122807015,,,,
64.72,,0.009535033211913435,,,
65.6,,,0.5301120448179272,,
66,,,,0.5412285556170449,
66.3,,,,,0.847457627118644
67,0.42489035087719296,,,,
68,,0.012320548532247696,,,
68.7,,,0.5952380952380952,,
69,,,,0.6231322634200332,
69.2,,,,,0.8813559322033898
70,0.4980811403508772,,,,
70.86,,0.014784658238697236,,,
71.7,,,0.6593137254901961,,
72,,,,0.689540675152186,
72.1,,,,,0.9152542372881356
73,0.5759320175438597,0.01767730876365974,,,
74.6,,,,,0.9491525423728814
75,0.631578947368421,0.02014141847010928,0.7237394957983193,0.7581627006087438,
77,,,,0.8256779192030991,
78,0.7272478070175439,,,,
78.8,,,,,1.0
79,,,,0.8572219147758716,
79.2,,,0.7797619047619048,,
80,0.7837171052631579,,,,
82,,,,0.9020475926950747,
83,0.8492324561403509,,,,
83.94,,,0.8333333333333334,,
87,,,,0.9468732706142778,
88,0.924890350877193,,,0.9601549529607084,
90,,,,0.9684560044272275,
90.5,,0.21587743732590528,,,
91,0.959703947368421,,,,
91.7,,,0.8886554621848739,,
93.9,,0.4112920505678166,,,
94,0.9739583333333334,,,0.9811842833425567,
95.2,,,0.9446778711484594,,
95.7,,,0.9590336134453782,,
95.9,,0.6056353117634454,,,
96,0.9890350877192983,,,,
96.1,,,0.9677871148459384,,
96.6,,,0.9793417366946778,,
97,,,,0.991698948533481,
97.1,,,0.990546218487395,,
97.2,,0.8056567388043712,,,
97.5,,0.8527962288407971,,,
97.8,,0.8847225198200128,,,
98,,0.9290764945361045,,,
98.5,,0.9659310049282194,,,
99,1.0,,,,
100,,1.0,1.0,1.0,
