value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
1.2,,,,,,0.06075602604517985,,,,
1.3,,,,,0.04798759297798401,0.0885701306388778,,,,
1.5,,,,,0.0891543110916387,0.16128876836033754,0.04421154981874896,,0.051560434623592125,
1.6,0.04771566205912585,,,,,0.20502319562793386,,,,
1.7,,0.05517913525356015,,,0.1457849980582911,,0.08778358201650346,0.0440112618777617,0.09863985739093373,
1.8,0.08231824248653791,,0.04845436483075877,0.035094406813240275,0.18105190835133977,,0.11727317517235979,,0.13117903024683003,0.058590293081608215
1.9,,0.09894000902119982,,,0.21995578878190128,,0.15123939167517725,0.08522008889584066,,0.08341069600374812
2,0.13243100194836077,0.12936722726979832,0.09993377127821433,0.07285462429122791,,0.4206324078025412,0.18875558354351493,0.11342692162306599,0.20987032135996983,
2.1,0.16544958041207064,,0.13499919451554585,,,,,,,0.1538808585954988
2.2,0.20473129496954728,0.20894709710677234,0.1794619363846278,0.13161029509495853,,,,0.18681812849489696,,0.19906210414895278
2.3,,,,0.1723773865024213,0.40858534059565654,0.6008562421706152,,,,
2.4,,,,,,,0.38138742695305744,,0.42512304063724826,
2.5,0.3505476888145682,0.3653666473355242,,,,,,,,0.366725086328064
2.6,,,0.4055166735282009,,0.5667250838917821,,,0.3887303014898526,,
2.7,,,,0.39154815136187066,,0.8155431356083862,0.5574048635967646,,0.5999832969995076,
2.8,0.5254169031802771,0.5446307751788131,0.5350385737555265,,,,,0.5062044604335302,,0.5597485640909958
2.9,,,,0.5220951315726778,,,,,,
3,,,,,0.763773686359246,,,,0.7581232739032896,
3.1,0.6968611447770124,0.7131435659514144,0.7112606726690175,,,,0.7781428538800121,0.6757778386058212,,0.7447877804577556
3.2,,,,0.7028762166052669,,,,,,
3.5,0.860972185999417,0.8677234357883884,0.868240642955591,0.8344814960639795,0.9164069423561393,0.9778437013889845,0.9130875975998513,0.8436241348297032,0.9175591732590722,0.9026249804785785
3.6,0.9198372274979673,0.9226931503318513,0.9217248107111533,0.903030196638019,0.9542055423342328,0.9890147708657406,0.9558798098413931,,0.9558061645591128,0.9512137986083395
3.7,,,,,0.9672647793919962,0.9923736629819804,0.970213487948682,0.9287855681122017,0.9678236854306639,0.9666335525516667
3.8,0.9559394320605066,0.9584171016173723,0.9551792650401847,0.9474286086875835,,,,0.9472294998631369,,
3.9,,,,,0.9844489031834068,0.9965516292003359,0.9875522463056438,,0.9839536002165631,0.9853415814954276
4,0.9770338892042404,0.9789983246343192,0.9759249646481822,0.9728027124560819,,,,0.9734941800596983,,
4.9,,,,,,0.9999793510730559,,,,
5,0.9988110396882622,0.9993910690121787,0.9984427300553099,0.9977730575067774,0.9995718282931881,,0.9999836857749747,0.9995698588354905,0.9991187727326397,0.9997852643634282
5.3,,,,,,,1.0,,,
6.6,,,1.0,,,,,,,
6.7,,,,,,1.0,,,,
7.6,,,,,,,,1.0,,
9.2,1.0,,,,,,,,,
10.4,,1.0,,,,,,,,
11.2,,,,1.0,,,,,,
12,,,,,,,,,,1.0
14.3,,,,,,,,,1.0,
15,,,,,1.0,,,,,
