Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,34725,43791,13900,58245,30766,13909,15918,18977,27229,56854,59663,373977
Total comorbidities across all patients,84345,106532,29799,151380,57616,45053,41837,43983,74416,129565,142880,907406
Average comorbidities per hospitalization,2.43,2.43,2.14,2.60,1.87,3.24,2.63,2.32,2.73,2.28,2.39,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,cerebrovascular_disease,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,416.7,392.0,354.0,402.5,266.8,428.6,452.3,415.2,372.4,352.4,442.0,
