value,emory_probability,mimic_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
2,,,,,,,,0.26248777112884364
3,0.1006592851960506,,,,,,,0.3535575024497527
4,,,,,,,,0.4798961137751495
5,,,,0.12940809320711535,,,,0.5134182395279288
6,,,,,,,,0.6413418796515961
15,,,,,,,,0.707427316045751
28.1,,0.10058835978835978,,,,,,
30,,,,0.20924789347758244,,,,
32,0.20201255480899658,,,,,,,
33.5,,0.20035555555555556,,,,,,
33.9,,,,,,0.10008984817961444,,
34,,,,,,,0.10017761989342806,
35,,,,,,,0.20956927175843695,
37.2,,0.30124867724867727,,,,,,
40,,,,0.347654218246125,,0.20448652149316923,0.658303730017762,0.8624036659360841
40.3,,0.40132910052910054,,,,,,
42,0.30024289454591335,,,,,,,
43.3,,0.5000550264550264,,,,,,
45,,,,0.423697076875065,,,0.791607460035524,
46.6,,0.6031040564373897,,,,,,
46.9,,,,,,0.3009914017083953,,
50,0.5339894640547617,,,0.5875897222511183,0.7480522862201854,,0.9291296625222025,0.9495527982879779
50.2,,0.7004134038800706,,,,,,
52,,,,,,0.40030307762012396,,
54,,,,0.6021533340268387,,,,
55,0.6108324658528123,0.8001354497354497,,,,0.5063981631038834,,
60,0.9452698653039336,,0.3014641798849573,0.8268490585665245,0.903359025101552,0.9219447139320993,,
62.8,,0.9007830687830688,,,,,,
70,,,,0.9456465203370436,,,,
75,,,0.534687118703155,,,,,
80,,,0.7506536517343559,,,,,
90,,,0.9036953111382255,,,,,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
