value,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability
11.1395,,0.00018767359807822235,,,,,
16.119500000000002,,,,,0.0060967439367546564,,
16.4995,0.011495499403535408,,,,,,
18.9995,,,,,,0.011347538027846544,
19.0995,,,,0.016292888633314167,,,
20.08,,0.00015013887846257787,,,,,
21.0995,,,0.024003606175575672,,,,
26.71,,,,,0.006029746750636473,,
27.85,,0.00015013887846257787,,,,,
30.139499999999998,,,,,,,0.024875621890547265
30.64,,,,,0.006297735495109205,,
33.45,,,,,0.0059627495645182904,,
33.45,,,,0.01619704811194173,,,
34.23,,0.00015013887846257787,,,,,
34.849999999999994,,,0.024567071109274634,,,,
35.5,0.012471532371760113,,,,,0.010751303368964316,
35.95,,,,,0.0059627495645182904,,
37.25,,,,0.016101207590569294,,,
38.15,,,0.023665527215356297,,,,
38.82,,0.00018767359807822235,,,,,
39.0,0.00759136753063659,,,,,,
39.5,,,,,,0.010446031223616616,
40.2,,,,0.01686793176154878,,,
40.4,,,0.02396604184666241,,,,
40.730000000000004,,,,,,,0.022388059701492536
41.5,0.014640494523370568,,,,,,
41.7,,,,,0.030349725311536915,,
42.2,,,0.023289883926223658,,,,
42.45,,,,0.01543032394096224,,,
42.5,,,,,,0.01401866929963892,
42.83,,,,,,,0.022388059701492536
43.5,0.005964645916928749,,,,,,
44.269999999999996,,,,,,,0.022388059701492536
44.5,,,,,,0.006105442906954004,
44.55,,0.0008632985511598228,,,,,
45.43,,,,,,,0.024875621890547265
45.8,,,0.11975508057548552,,,,
46.66,,,,0.08261452942304007,,,
47.0,0.051079058670426204,,,,,,
48.0,,,,,,0.04843333381032106,
49.05,,,,,,,0.11940298507462686
49.05,,,,,0.03048371968377328,,
50.7,,,0.11937943728635288,,,,
51.72,,0.0007882291119285339,,,,,
52.0,0.05281422839171456,,,0.0795476327391221,,,
53.0,,,,,,0.051881955077295865,
53.05,,,,,,,0.11442786069651742
54.1,,,,,0.03021573093930055,,
54.599999999999994,,,0.11813981443221516,,,,
55.65,,,,0.0829978915085298,,,
55.7,,,,,,,0.11442786069651742
56.0,0.06181542132089795,,,,,,
56.18,,0.0008257638315441783,,,,,
56.5,,,,,,0.04985952711436735,
58.1,,,,,0.02974675063647327,,
58.2,,,0.11798955711656212,,,,
58.55,,,,,,,0.11442786069651742
58.65,,,,0.07811002491853555,,,
58.96,,0.0008257638315441783,,,,,
59.0,0.03643856414705563,,,,,0.03849290957743657,
60.9095,,,,,,,0.07960199004975124
60.9995,,,0.06720258442582923,,,,
61.2995,,,,0.07504312823461759,,,
61.4995,,,,,,0.08867440340760033,
61.9995,0.09272313198134692,,,,,,
62.049499999999995,,,,,0.04019831167090982,,
62.3995,,0.0018767359807822235,,,,,
62.81,,,,,,,0.07960199004975124
63.1,,,0.06487359603320687,,,,
63.849999999999994,,,,0.07523480927736247,,,
64.9,,,,,,,0.07711442786069651
65.0,,,,,,0.10403102328177095,
65.45,,,0.06735284174148229,,,,
65.5,0.06962368506669558,,,,,,
65.75,,,,,0.04013131448479164,,
66.44999999999999,,0.0018392012611665792,,,,,
66.55,,,,0.07494728771324516,,,
67.65,,,,,,,0.07711442786069651
68.30000000000001,,,0.06554975395364562,,,,
68.5,0.0721179915410476,,,,,0.08765841954886501,
68.80000000000001,,,,,0.04013131448479164,,
69.5,,0.0018392012611665792,,,,,
69.55,,,,0.0721679125934445,,,
71.0,,,,,,0.05733153985947942,
71.4,,,,,0.04013131448479164,,
71.5,0.0787333261034595,,,,,,
71.95,,0.0018767359807822235,,,,,
72.0,,,,,,,0.07711442786069651
72.45,,,0.06502385334885992,,,,
73.05,,,,0.07303047728579644,,,
73.5,,,,,,0.0840190031910479,
73.8,,,,,0.039394345437491624,,
74.0,0.05379026135993927,0.0018016665415509347,,,,,
75.4495,,,,,,,0.009950248756218905
75.9495,,,0.01536381052552496,,,,
75.9995,0.07634746773668799,,,,,0.07918711751546632,
76.09,,,,,,,0.0024875621890547263
76.5495,,,,0.04619513130151428,,,
77.39,,,,,,,0.004975124378109453
78.30000000000001,,,0.014762781262912738,,,,
78.3495,,,,,0.13017553262762965,,
78.5,0.08730072660232079,,,,,0.06655409756306971,
80.33000000000001,,,,,,,0.004975124378109453
80.5,,,,0.04427832087406555,,,
81.5,0.06604489751653833,,,,,,
82.0,,,,,,0.06370171095497713,
82.30000000000001,,,0.015175988880958642,,,,
83.64949999999999,,0.19724495158021169,,,,,
84.80000000000001,,,,,0.12850060297467505,,
85.5,0.07179264721830604,,,,,,
85.95,,,,0.04494920452367261,,,
87.0,,,,,,0.057896770316099765,
88.48,,,,,,,0.007462686567164179
88.4995,0.01952065936449409,,,,,,
89.15,,,0.014725216933999474,,,,
90.0,0.011820843726276977,,,,,,
90.4995,,,,,,0.014910636349326732,
90.80000000000001,,,,,0.12809861985796597,,
91.84,,,,0.044853364002300174,,,
92.0,,,,,,0.01386603322696507,
92.5,0.016809456674981023,,,,,,
93.65,,0.2281360258238871,,,,,
93.7995,,,0.003080274970887645,,,,
94.0,,,,,,0.013272183506718372,
94.7,,,0.003230532286540701,,,,
95.0,0.017677041535625205,,,,,,
95.0495,,,,0.009679892658616063,,,
95.55000000000001,,,0.0029300176552345893,,,,
95.6,,0.16631634261692066,,,,,
95.7,,,,0.010638297872340425,,,
95.9,,,,,0.13292241725847515,,
96.25,,,,0.007763082231167337,,,
96.35,,,0.002967581984147853,,,,
96.5,,,,,,0.017887039766466807,
96.75,,0.1928533893851813,,,,,
96.8,,,,0.009200690051753882,,,
97.4495,,0.04984610764957586,,,,,
97.5,0.011387051295954886,,,,,,
97.75,,0.037872532092185274,,,,,
97.9,,,0.003005146313061117,,,,
97.95,,0.043277531716838076,,,,,
98.2,,0.036483747466406424,,,,,
98.34949999999999,,,,,0.030818705614364197,,
98.55,,,,0.007858922752539774,,,
98.8,,,,,0.027133860377864128,,
99.0,,,,,,0.00967331110570525,
99.15,,,,,0.021506096743936755,,
99.2,,0.0346070114856242,,,,,
99.5,,,,,0.024855956049845907,,
99.85,,,,,0.024855956049845907,,
